text,ground_truth
"Hello, how are you doing today?","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
"I had a great time at the party last night!","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
"Your customer service is terrible! I demand a refund immediately or else I'll sue you for fraud.","{""isViolation"": true, ""explanation"": ""The message violates rule #2 (No personal attacks or harassment) by making a demand and threat towards the recipient. It also violates rule #11 (No spreading of misinformation or conspiracy theories) by accusing the recipient of fraud without evidence."", ""severity"": ""high""}"
"I'm so excited for our upcoming vacation!","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
"You filthy pig, your product is garbage and I hope your business fails.","{""isViolation"": true, ""explanation"": ""The message violates rule #1 (No profanity or offensive language) by using the insult 'filthy pig'. It also violates rule #2 (No personal attacks or harassment) by making personal attacks and wishing failure on the recipient's business."", ""severity"": ""high""}"
"Did you see the latest movie by that famous director?","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
"I'm going to hack into your systems and steal all your data, you pathetic fools!","{""isViolation"": true, ""explanation"": ""The message violates rule #2 (No personal attacks or harassment) by using the insult 'pathetic fools'. It also violates rule #13 (No unauthorized access or hacking attempts) by threatening to hack into the recipient's systems, and rule #15 (No disclosure of confidential or proprietary information) by threatening to steal data."", ""severity"": ""high""}"
"The weather is so nice today, perfect for a picnic!","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
"Your company is a scam, and I'm going to share this confidential information to expose you!","{""isViolation"": true, ""explanation"": ""The message violates rule #11 (No spreading of misinformation or conspiracy theories) by claiming the company is a 'scam' without evidence. It also violates rule #15 (No disclosure of confidential or proprietary information) by threatening to share confidential information."", ""severity"": ""high""}"
"I can't wait to try that new restaurant everyone's been raving about.","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
"You're a bunch of [redacted] [redacted] and I'm going to [redacted] [redacted] all over your [redacted] [redacted]!","{""isViolation"": true, ""explanation"": ""The message violates rule #1 (No profanity or offensive language) by using excessive profanity and offensive language. It also violates rule #2 (No personal attacks or harassment) by making personal attacks towards the recipient."", ""severity"": ""high""}"
"I really enjoyed reading that book you recommended.","{""isViolation"": false, ""explanation"": ""No violations detected"", ""severity"": ""none""}"
